ECODISTRIC,month,pe,precip,temp
728,5,80.33374,40.1,10.8
728,6,112.61786,74.3,14.6
728,7,120.77584,80.2,16.3
728,8,102.44423,61.5,15.3
728,9,59.78724,41.4,9.9
728,11,0,15,-6.1
728,12,0,20.2,-13.7
729,1,0,21.8,-17.4
729,2,0,14.7,-13.5
729,3,0,21.9,-6.9
729,10,23.2108,15.4,4.4
729,4,24.54935,22.4,3.5
729,5,79.76331,40.3,11
729,6,114.29696,73.7,15.2
729,7,124.49079,74.6,17.1
729,8,105.38393,53,16.1
729,9,60.91274,35.7,10.3
729,11,0,18.5,-6.7
729,12,0,21.7,-14.8
730,1,0,21.9,-16.7
730,2,0,14.7,-12.2
730,3,0,21,-6.6
730,10,24.77659,16.2,4.6
730,4,25.90016,21.5,3.5
730,5,78.73877,40.7,10.7
730,6,111.73508,78.3,14.7
730,7,121.60055,78.8,16.6
730,8,104.31577,58.7,15.7
730,9,60.36744,37.9,10.1
730,11,0,16.9,-5.9
730,12,0,22.2,-13.7
731,1,0,21.2,-13.9
731,2,0,14.8,-10.6
731,3,0,19.2,-4.7
731,10,26.86933,16,5.2
731,4,30.05947,18.3,4.4
731,5,79.66048,42.9,11.1
731,6,113.19371,78.4,15.1
731,7,123.1676,81.9,17.1
731,8,105.09615,63.3,16.1
731,9,62.21501,41.8,10.7
731,11,0,15.5,-4.9
731,12,0,19,-11.6
732,1,0,20.8,-14.2
732,2,0,16,-10.7
732,3,0,16,-5.1
732,10,25.84933,15.7,4.9
732,4,28.82995,19.5,4.2
732,5,80.49849,41,11.1
732,6,113.93687,80.5,15.1
732,7,122.82607,85.2,16.8
732,8,103.96756,64.3,15.8
732,9,61.29558,38.6,10.5
732,11,0,16.3,-5.4
732,12,0,20.8,-12.2
737,1,0,23.5,-13.3
737,2,0,18,-9.5
737,3,0,19.6,-4.5
737,10,27.14546,19.9,4.8
737,4,28.09958,22.9,3.7
737,5,75.14976,52.6,10
737,6,107.24838,85.1,13.9
737,7,117.12715,92.9,15.8
737,8,100.57466,65.9,14.9
737,9,61.18683,51.4,10
737,11,0,17,-4.8
737,12,0,20.4,-11.4
738,1,0,25.9,-15.1
738,2,0,16.8,-10.2
738,3,0,23,-4.6
738,10,27.03502,16.9,5.2
738,4,27.94744,22.2,4.1
738,5,78.57779,44.9,10.9
738,6,112.17223,79.8,15
738,7,122.15295,81.2,17
738,8,105.55737,55.9,16.2
738,9,62.85329,41.8,10.7
738,11,0,17.8,-4.8
738,12,0,23.8,-11.9
739,1,0,22.5,-17.1
739,2,0,14.7,-12.6
739,3,0,20.2,-6.5
739,10,24.54052,15.2,4.7
739,4,24.58293,22.8,3.5
739,5,78.36794,37.9,11
739,6,112.89175,74.6,15.2
739,7,123.80771,77.5,17.3
739,8,106.51678,55.8,16.4
739,9,61.39495,35.5,10.5
