year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
2004,822,SK,coarse,0.061352628
2005,822,SK,coarse,0.152523408
2006,822,SK,coarse,0.157933638
2007,822,SK,coarse,0.103388077
2008,822,SK,coarse,0.103178096
2009,822,SK,coarse,0.206080448
2010,822,SK,coarse,0.196191378
2011,822,SK,coarse,0.094526058
2012,822,SK,coarse,0.157721768
2013,822,SK,coarse,0.156130698
2014,822,SK,coarse,0.237681598
2015,822,SK,coarse,0.103673783
2016,822,SK,coarse,0.114793723
2017,822,SK,coarse,0.177139668
2018,822,SK,coarse,0.068226848
2019,822,SK,coarse,0.118224781
2020,822,SK,coarse,0.150519168
2021,822,SK,coarse,0.178228568
2022,822,SK,coarse,-0.090473802
1990,822,SK,fine,0.075425549
1991,822,SK,fine,0.170202879
1992,822,SK,fine,0.219813679
1993,822,SK,fine,0.013709029
1994,822,SK,fine,0.019047529
1995,822,SK,fine,-0.037193231
1996,822,SK,fine,0.041562549
1997,822,SK,fine,0.170418979
1998,822,SK,fine,-0.029456341
1999,822,SK,fine,0.085494299
2000,822,SK,fine,0.112699109
2001,822,SK,fine,0.149908879
2002,822,SK,fine,-0.054081931
2003,822,SK,fine,-0.044109321
2004,822,SK,fine,-0.016348401
2005,822,SK,fine,0.215958079
2006,822,SK,fine,0.225944279
2007,822,SK,fine,0.083449299
2008,822,SK,fine,0.081296769
2009,822,SK,fine,0.340939179
2010,822,SK,fine,0.309361879
2011,822,SK,fine,0.046026891
2012,822,SK,fine,0.205662179
2013,822,SK,fine,0.198211479
2014,822,SK,fine,0.401338379
2015,822,SK,fine,0.055600249
2016,822,SK,fine,0.083787999
2017,822,SK,fine,0.240744979
2018,822,SK,fine,-0.037330551
2019,822,SK,fine,0.091538979
2020,822,SK,fine,0.172813779
2021,822,SK,fine,0.241099579
2022,822,SK,fine,-0.440888921
1990,822,SK,medium,0.094777408
1991,822,SK,medium,0.169884728
1992,822,SK,medium,0.210576178
1993,822,SK,medium,0.061472478
1994,822,SK,medium,0.063611498
1995,822,SK,medium,0.022159688
1996,822,SK,medium,0.079763428
1997,822,SK,medium,0.176435528
1998,822,SK,medium,0.031943018
1999,822,SK,medium,0.114812172
2000,822,SK,medium,0.136578608
2001,822,SK,medium,0.165399958
2002,822,SK,medium,0.015921018
2003,822,SK,medium,0.020301098
